z1,z2,z3,x1,x2,x3,y
375,25,25,1.0,0.0,0.0,1.84
375,25,25,0.0,1.0,0.0,0.67
375,25,25,0.0,0.0,1.0,1.51
375,25,25,0.5,0.5,0.0,1.29
375,25,25,0.5,0.0,0.5,1.42
375,25,25,0.0,0.5,0.5,1.16
375,25,25,0.333333333,0.333333333,0.333333334,1.59
425,25,25,1.0,0.0,0.0,2.86
425,25,25,0.0,1.0,0.0,1.10
425,25,25,0.0,0.0,1.0,1.60
425,25,25,0.5,0.5,0.0,1.53
425,25,25,0.5,0.0,0.5,1.81
425,25,25,0.0,0.5,0.5,1.50
425,25,25,0.333333333,0.333333333,0.333333334,1.68
375,40,25,1.0,0.0,0.0,3.01
375,40,25,0.0,1.0,0.0,1.21
375,40,25,0.0,0.0,1.0,2.32
375,40,25,0.5,0.5,0.0,1.93
375,40,25,0.5,0.0,0.5,2.57
375,40,25,0.0,0.5,0.5,1.83
375,40,25,0.333333333,0.333333333,0.333333334,1.94
425,40,25,1.0,0.0,0.0,4.13
425,40,25,0.0,1.0,0.0,1.67
425,40,25,0.0,0.0,1.0,2.57
425,40,25,0.5,0.5,0.0,2.26
425,40,25,0.5,0.0,0.5,3.15
425,40,25,0.0,0.5,0.5,2.22
425,40,25,0.333333333,0.333333333,0.333333334,2.60
375,25,40,1.0,0.0,0.0,1.65
375,25,40,0.0,1.0,0.0,0.58
375,25,40,0.0,0.0,1.0,1.21
375,25,40,0.5,0.5,0.0,1.18
375,25,40,0.5,0.0,0.5,1.45
375,25,40,0.0,0.5,0.5,1.07
375,25,40,0.333333333,0.333333333,0.333333334,1.41
425,25,40,1.0,0.0,0.0,2.32
425,25,40,0.0,1.0,0.0,0.97
425,25,40,0.0,0.0,1.0,2.12
425,25,40,0.5,0.5,0.0,1.45
425,25,40,0.5,0.0,0.5,1.93
425,25,40,0.0,0.5,0.5,1.28
425,25,40,0.333333333,0.333333333,0.333333334,1.54
375,40,40,1.0,0.0,0.0,3.04
375,40,40,0.0,1.0,0.0,1.16
375,40,40,0.0,0.0,1.0,2.00
375,40,40,0.5,0.5,0.0,1.85
375,40,40,0.5,0.0,0.5,2.39
375,40,40,0.0,0.5,0.5,1.60
375,40,40,0.333333333,0.333333333,0.333333334,2.05
425,40,40,1.0,0.0,0.0,4.13
425,40,40,0.0,1.0,0.0,1.30
425,40,40,0.0,0.0,1.0,2.75
425,40,40,0.5,0.5,0.0,2.06
425,40,40,0.5,0.0,0.5,2.82
425,40,40,0.0,0.5,0.5,2.10
425,40,40,0.333333333,0.333333333,0.333333334,2.32
